Sl No.,Bank Name,Branch Name,Routing No.,Dist. Name
160,AGRANI BANK PLC,B.S.C.I.C,10190250,COMILLA
161,AGRANI BANK PLC,BABU BAZAR,10270554,DHAKA-SOUTH
162,AGRANI BANK PLC,BABUR HAT,10130131,CHANDPUR
163,AGRANI BANK PLC,BABURHAT,10680102,NARSHINGDI
164,AGRANI BANK PLC,BADALKOT,10750137,NOAKHALI
165,AGRANI BANK PLC,BADAMTALI,10750166,NOAKHALI
166,AGRANI BANK PLC,BADARGANJ,10850103,RANGPUR
167,AGRANI BANK PLC,BADARPUR,10290163,FARIDPUR
168,AGRANI BANK PLC,BADDA,10260348,DHAKA-NORTH
169,AGRANI BANK PLC,BADHAL BAZAR,10010048,BAGERHAT
170,AGRANI BANK PLC,BADURTALA,10100161,BOGRA
171,AGRANI BANK PLC,BAGATIPARA,10690134,NATORE
172,AGRANI BANK PLC,BAGBARI,10100190,BOGRA
173,AGRANI BANK PLC,BAGERHAT,10010077,BAGERHAT
174,AGRANI BANK PLC,BAGHERPARA,10410130,JESSORE
175,AGRANI BANK PLC,BAHADDAR HAT,10150795,CHITTAGONG
176,AGRANI BANK PLC,BAHULI,10880160,SIRAJGANJ
177,AGRANI BANK PLC,BAIKALI,10470075,KHULNA
178,AGRANI BANK PLC,BAIRAGIR BAZAR,10910135,SYLHET
179,AGRANI BANK PLC,BAIRAGIRHAT,10300132,FENI
180,AGRANI BANK PLC,BAJITPUR,10480102,KISHOREGANJ
181,AGRANI BANK PLC,BAJU BAGHA,10810130,RAJSHAHI
182,AGRANI BANK PLC,BAJUA BAZAR,10470109,KHULNA
183,AGRANI BANK PLC,BAKTARPUR,10330207,GAZIPUR
184,AGRANI BANK PLC,BALAGANJ,10910164,SYLHET
185,AGRANI BANK PLC,BALIAGHATA,10810169,RAJSHAHI
186,AGRANI BANK PLC,BALIGAON BAZAR,10590139,MUNSHIGANJ
187,AGRANI BANK PLC,BALIJURI BAZAR,10390197,JAMALPUR
188,AGRANI BANK PLC,BALITHUBA,10130207,CHANDPUR
189,AGRANI BANK PLC,BALUTUPA,10190371,COMILLA
190,AGRANI BANK PLC,BAMONPARA,10570070,MEHERPUR
191,AGRANI BANK PLC,BANAGRAM,10760406,PABNA
192,AGRANI BANK PLC,BANAGRAM BAZAR,10350074,GOPALGANJ
193,AGRANI BANK PLC,BANANI,10260430,DHAKA-NORTH
194,AGRANI BANK PLC,BANARGATI BAZAR,10470138,KHULNA
195,AGRANI BANK PLC,BANARI PARA,10060256,BARISHAL
196,AGRANI BANK PLC,BANARUPA,10840076,RANGAMATI
197,AGRANI BANK PLC,BANCHARAMPUR,10120259,BRAHMANBARIA
198,AGRANI BANK PLC,BANDAR,10150911,CHITTAGONG
199,AGRANI BANK PLC,BANDAR BAZAR,10910193,SYLHET
200,AGRANI BANK PLC,BANDARBAN BAZAR,10030165,BANDARBAN
201,AGRANI BANK PLC,BANESHAR BAZAR,10810198,RAJSHAHI
202,AGRANI BANK PLC,BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TEC UNIVERSITY,10350061,GOPALGANJ
203,AGRANI BANK PLC,BANGLA ACADAMY,10270796,DHAKA-SOUTH
204,AGRANI BANK PLC,BANGLABAZAR,10090071,BHOLA
205,AGRANI BANK PLC,BANGLADESH HAT,10560064,MANIKGANJ
206,AGRANI BANK PLC,BANGSHIPUR BUS STAND,10870167,SATKHIRA
207,AGRANI BANK PLC,BANGURA BAZAR,10120288,BRAHMANBARIA
208,AGRANI BANK PLC,BANK TOWN,10260498,DHAKA-NORTH
209,AGRANI BANK PLC,BANKA BAZAR,10470196,KHULNA
210,AGRANI BANK PLC,BAOT,10570133,MEHERPUR
211,AGRANI BANK PLC,BARA BAZAR,10500190,KUSHTIA
212,AGRANI BANK PLC,BARAGANGDIA,10500224,KUSHTIA
213,AGRANI BANK PLC,BARAHATTA,10720075,NETROKONA
214,AGRANI BANK PLC,BARAIYER HAT,10151099,CHITTAGONG
215,AGRANI BANK PLC,BARGUNA,10040139,BARGUNA
216,AGRANI BANK PLC,BARHAMGANJ,10540071,MADARIPUR
217,AGRANI BANK PLC,BARODAROGA HAT,10151123,CHITTAGONG
218,AGRANI BANK PLC,BAROGHORIA,10700132,NAWABGANJ
219,AGRANI BANK PLC,BASAIL,10930373,TANGAIL
220,AGRANI BANK PLC,BASHABOO,10270970,DHAKA-SOUTH
221,AGRANI BANK PLC,BASHURHAT,10750258,NOAKHALI
222,AGRANI BANK PLC,BATA KANDI BAZAR,10190526,COMILLA
223,AGRANI BANK PLC,BATAICHARI BAZAR,10190555,COMILLA
224,AGRANI BANK PLC,BATAJORE,10060377,BARISHAL
225,AGRANI BANK PLC,BATBUNIA BAZAR,10470288,KHULNA
226,AGRANI BANK PLC,BAUPHAL,10780194,PATUAKHALI
227,AGRANI BANK PLC,BAY SHOPPING CENTRE,10151181,CHITTAGONG
228,AGRANI BANK PLC,BAZAR GOPALPUR,10440100,JHENAIDAH
229,AGRANI BANK PLC,BAZAR(H.M.M.ROAD),10410251,JESSORE
230,AGRANI BANK PLC,BAZRA BAZAR,10750311,NOAKHALI
231,AGRANI BANK PLC,BEANI BAZAR,10910319,SYLHET
232,AGRANI BANK PLC,BECHARAMDEWRI,10271032,DHAKA-SOUTH
233,AGRANI BANK PLC,BEGUM BAZAR,10271061,DHAKA-SOUTH
234,AGRANI BANK PLC,BEGUNBARI,10940134,THAKURGAON
235,AGRANI BANK PLC,BELTAIL,10880252,SIRAJGANJ
236,AGRANI BANK PLC,BELTALI BAZAR,10130223,CHANDPUR
237,AGRANI BANK PLC,BENAPOLE BAZAR,10410314,JESSORE
238,AGRANI BANK PLC,BEROIL PALITA,10550166,MAGURA
239,AGRANI BANK PLC,BHABANIGANJ,10510072,LAKSHMIPUR
240,AGRANI BANK PLC,BHAIRAB BAZAR,10480223,KISHOREGANJ
241,AGRANI BANK PLC,BHAITKANDI,10610280,MYMENSINGH
242,AGRANI BANK PLC,BHALUKA,10610314,MYMENSINGH
243,AGRANI BANK PLC,BHANDARIA,10790139,PIROJPUR
244,AGRANI BANK PLC,BHANGA,10290284,FARIDPUR
245,AGRANI BANK PLC,BHANGA BAZAR,10010064,BAGERHAT
246,AGRANI BANK PLC,BHANGURA BAZAR,10410343,JESSORE
247,AGRANI BANK PLC,BHATRA,10100282,BOGRA
248,AGRANI BANK PLC,BHERAMARA,10500282,KUSHTIA
249,AGRANI BANK PLC,BHETKHALI,10870259,SATKHIRA
250,AGRANI BANK PLC,BHITORBOND HAT,10490071,KURIGRAM
251,AGRANI BANK PLC,BHOLA,10090105,BHOLA
252,AGRANI BANK PLC,BHUANPUR,10930465,TANGAIL
253,AGRANI BANK PLC,BHUKSHIMOIL,10580228,MOULVI BAZAR
254,AGRANI BANK PLC,BHURUNGAMARI,10490105,KURIGRAM
255,AGRANI BANK PLC,BHUSHIR BANDAR,10280281,DINAJPUR
256,AGRANI BANK PLC,BIDYAGANJ BAZAR,10610330,MYMENSINGH
257,AGRANI BANK PLC,BINODPUR,10700190,NAWABGANJ
258,AGRANI BANK PLC,BIRAMPUR,10280344,DINAJPUR
259,AGRANI BANK PLC,BIRGANJ,10280373,DINAJPUR
260,AGRANI BANK PLC,BIRISHIRI,10720109,NETROKONA
261,AGRANI BANK PLC,BISHWANATH,10910430,SYLHET
262,AGRANI BANK PLC,BITGHAR,10120404,BRAHMANBARIA
263,AGRANI BANK PLC,BOALIA,10640405,NAOGAON
264,AGRANI BANK PLC,BOALJURI,10910498,SYLHET
265,AGRANI BANK PLC,BOALKHALI,10151307,CHITTAGONG
266,AGRANI BANK PLC,BOALMARI,10290347,FARIDPUR
267,AGRANI BANK PLC,BOARD BAZAR,10330223,GAZIPUR
268,AGRANI BANK PLC,BOGRA CANTONMENT,10100437,BOGRA
269,AGRANI BANK PLC,BOKSHAGONJ,10190739,COMILLA
270,AGRANI BANK PLC,BONARPARA,10320220,GAIBANDHA
271,AGRANI BANK PLC,BORAL BRIDGE,10760619,PABNA
272,AGRANI BANK PLC,BORHANUDDIN,10090192,BHOLA
273,AGRANI BANK PLC,BORMI BAZAR,10330281,GAZIPUR
274,AGRANI BANK PLC,BOTTALA,10060522,BARISHAL
275,AGRANI BANK PLC,BOYRA,10560169,MANIKGANJ
276,AGRANI BANK PLC,BRAHMAGACHA,10880373,SIRAJGANJ
277,AGRANI BANK PLC,BRAHMAN PARA,10190768,COMILLA
278,AGRANI BANK PLC,BRAHMANBARIA,10120433,BRAHMANBARIA
279,AGRANI BANK PLC,BROJERGAON,10750379,NOAKHALI
280,AGRANI BANK PLC,BUKHAI NAGAR,10060551,BARISHAL
281,AGRANI BANK PLC,BURICHANG BAZAR,10190834,COMILLA
282,AGRANI BANK PLC,BUS STAND,10290376,FARIDPUR
283,AGRANI BANK PLC,BUS STAND,10410406,JESSORE
284,AGRANI BANK PLC,BUS STAND,10640434,NAOGAON
285,AGRANI BANK PLC,BUS STAND,10390405,JAMALPUR
286,AGRANI BANK PLC,C & B BAZAR,10680128,NARSHINGDI
287,AGRANI BANK PLC,C.K. GHOSH ROAD,10610406,MYMENSINGH
288,AGRANI BANK PLC,CADET COLLEGE,10151660,CHITTAGONG
289,AGRANI BANK PLC,CADET COLLEGE,10850316,RANGPUR
290,AGRANI BANK PLC,CENTRAL LAW COLLEGE,10271216,DHAKA-SOUTH
291,AGRANI BANK PLC,CENTRAL ROAD,10850345,RANGPUR
292,AGRANI BANK PLC,CHAGLI BAZAR,10910614,SYLHET
293,AGRANI BANK PLC,CHAIKOLA BAZAR,10760114,PABNA
294,AGRANI BANK PLC,CHAKLAHAT,10770162,PANCHAGARH
295,AGRANI BANK PLC,CHAKTAI,10151752,CHITTAGONG
296,AGRANI BANK PLC,CHALAKCHAR,10680315,NARSHINGDI
297,AGRANI BANK PLC,CHAMRUL,10100640,BOGRA
298,AGRANI BANK PLC,CHANCHAKOIR,10690318,NATORE
299,AGRANI BANK PLC,CHANDAIKONA,10880436,SIRAJGANJ
300,AGRANI BANK PLC,CHANDINA,10190889,COMILLA
301,AGRANI BANK PLC,CHANDRA BAZAR,10130465,CHANDPUR
302,AGRANI BANK PLC,CHANDRAGHONA,10840197,RANGAMATI
303,AGRANI BANK PLC,CHANDRAGONJ,10750403,NOAKHALI
304,AGRANI BANK PLC,CHANDURA BAZAR,10120583,BRAHMANBARIA
305,AGRANI BANK PLC,CHAPAI NAWABGANJ,10700253,NAWABGANJ
306,AGRANI BANK PLC,CHAPRAIL,10440313,JHENAIDAH
307,AGRANI BANK PLC,CHAPRI BAZAR,10930065,TANGAIL
308,AGRANI BANK PLC,CHAR BHADRASAN,10290439,FARIDPUR
309,AGRANI BANK PLC,CHAR FASSION BAZAR,10090255,BHOLA
310,AGRANI BANK PLC,CHAR SHASHI BHUSON,10090284,BHOLA
311,AGRANI BANK PLC,CHARGHAT,10810406,RAJSHAHI
312,AGRANI BANK PLC,CHARIGRAM,10560222,MANIKGANJ
313,AGRANI BANK PLC,CHARPUMDI,10480252,KISHOREGANJ
314,AGRANI BANK PLC,CHARSINDUR BAZAR,10680236,NARSHINGDI
315,AGRANI BANK PLC,CHATKHIL,10750582,NOAKHALI
316,AGRANI BANK PLC,CHATTESWARI ROAD,10151907,CHITTAGONG
317,AGRANI BANK PLC,CHATURI CHAUMUHONI,10151910,CHITTAGONG
318,AGRANI BANK PLC,CHAWK BARKAT,10380228,JOYPURHAT
319,AGRANI BANK PLC,CHAWK BAZAR,10271274,DHAKA-SOUTH
320,AGRANI BANK PLC,CHAWK BAZAR,10910735,SYLHET
321,AGRANI BANK PLC,CHAWK BAZAR,10060706,BARISHAL
322,AGRANI BANK PLC,CHELOPARA,10100761,BOGRA
323,AGRANI BANK PLC,CHHAGALNAIYA,10300316,FENI
324,AGRANI BANK PLC,CHHATAK,10900224,SUNAMGANJ
325,AGRANI BANK PLC,CHHENGARCHAR BAZAR,10130557,CHANDPUR
326,AGRANI BANK PLC,CHHOTO BAZAR,10610585,MYMENSINGH
327,AGRANI BANK PLC,CHILMARI,10490134,KURIGRAM
328,AGRANI BANK PLC,CHITTAGONG PRESS CLUB,10152056,CHITTAGONG
329,AGRANI BANK PLC,CHITTAGONG UNIVERSITY,10152085,CHITTAGONG
330,AGRANI BANK PLC,CHOUMOHANI,10750674,NOAKHALI
331,AGRANI BANK PLC,CHOWDALA,10700345,NAWABGANJ
332,AGRANI BANK PLC,CHOWDHURY BAZAR,10271337,DHAKA-SOUTH
333,AGRANI BANK PLC,CHUADANGA,10180194,CHUADANGA
334,AGRANI BANK PLC,CHUK NAGAR,10470554,KHULNA
335,AGRANI BANK PLC,CHULKATI BAZAR,10010280,BAGERHAT
336,AGRANI BANK PLC,CHURAIN BAZAR,10270262,DHAKA-SOUTH
337,AGRANI BANK PLC,CLAY ROAD,10470583,KHULNA
338,AGRANI BANK PLC,COLLEGE GATE,10760701,PABNA
339,AGRANI BANK PLC,COLONEL HAT,10152298,CHITTAGONG
340,AGRANI BANK PLC,COMMERCIAL AREA,10152322,CHITTAGONG
341,AGRANI BANK PLC,COURT BAZAR,10810051,RAJSHAHI
342,AGRANI BANK PLC,COURT ROAD,10670259,NARAYANGANJ
343,AGRANI BANK PLC,COURT ROAD,10760730,PABNA
344,AGRANI BANK PLC,COXS BAZAR,10220254,COXS BAZAR
345,AGRANI BANK PLC,D.U.E.T.,10330436,GAZIPUR
346,AGRANI BANK PLC,DADA MATCH,10470675,KHULNA
347,AGRANI BANK PLC,DALAL BAZAR,10510401,LAKSHMIPUR
348,AGRANI BANK PLC,DALAN BAZAR,10330449,GAZIPUR
349,AGRANI BANK PLC,DAMUDYA,10860193,SHARIATPUR
350,AGRANI BANK PLC,DAPDAPIA FERRYGHAT,10420225,JHALOKATHI
351,AGRANI BANK PLC,DARATANA ROAD,10410619,JESSORE
352,AGRANI BANK PLC,DARSHANA,10180310,CHUADANGA
353,AGRANI BANK PLC,DASHER HAT,10510469,LAKSHMIPUR
354,AGRANI BANK PLC,DASHGHORIA,10750766,NOAKHALI
355,AGRANI BANK PLC,DASHMINA,10780349,PATUAKHALI
356,AGRANI BANK PLC,DATTERHAT,10750795,NOAKHALI
357,AGRANI BANK PLC,DAUDKANDI,10191512,COMILLA
358,AGRANI BANK PLC,DAULATKHAN,10090376,BHOLA
359,AGRANI BANK PLC,DAULATPUR,10470709,KHULNA
360,AGRANI BANK PLC,DAULATPUR,10500466,KUSHTIA
361,AGRANI BANK PLC,DEBHATA,10870370,SATKHIRA
362,AGRANI BANK PLC,DEBIDWAR,10191604,COMILLA
363,AGRANI BANK PLC,DELDUAR,10930586,TANGAIL
364,AGRANI BANK PLC,DELTAGATE,10750858,NOAKHALI
365,AGRANI BANK PLC,DEMAJANI,10100824,BOGRA
366,AGRANI BANK PLC,DEMRA,10670312,NARAYANGANJ
367,AGRANI BANK PLC,DERAI,10900253,SUNAMGANJ
368,AGRANI BANK PLC,DEWAL GRAM,10911242,SYLHET
369,AGRANI BANK PLC,DEWAN HAT,10152443,CHITTAGONG
370,AGRANI BANK PLC,DEYPARA BAZAR,10010372,BAGERHAT
371,AGRANI BANK PLC,DHAKA DAKHIN,10911305,SYLHET
372,AGRANI BANK PLC,DHAKA SHERATON HOTEL,10271632,DHAKA-SOUTH
373,AGRANI BANK PLC,DHAKA UNIVERSITY,10271724,DHAKA-SOUTH
374,AGRANI BANK PLC,DHALLAH,10560314,MANIKGANJ
375,AGRANI BANK PLC,DHAMRAI,10261150,DHAKA-NORTH
376,AGRANI BANK PLC,DHAMURA BANDAR,10060056,BARISHAL
377,AGRANI BANK PLC,DHANMONDI,10261189,DHAKA-NORTH
378,AGRANI BANK PLC,DHARA BAZAR,10610822,MYMENSINGH
379,AGRANI BANK PLC,DHOLAIRPAR,10271874,DHAKA-SOUTH
380,AGRANI BANK PLC,DHOLBHANGA,10320370,GAIBANDHA
381,AGRANI BANK PLC,DHUBIL,10880731,SIRAJGANJ
382,AGRANI BANK PLC,DHUBURIA,10930731,TANGAIL
383,AGRANI BANK PLC,DHUNAT,10100882,BOGRA
384,AGRANI BANK PLC,DIGHALIA BAZAR,10650053,NARAIL
385,AGRANI BANK PLC,DIGHIRPAR,10590434,MUNSHIGANJ
386,AGRANI BANK PLC,DIKRIR CHOR HAT,10540084,MADARIPUR
387,AGRANI BANK PLC,DOWARA BAZAR,10900345,SUNAMGANJ
388,AGRANI BANK PLC,DUBLIA BAZAR,10760943,PABNA
389,AGRANI BANK PLC,DURGAPUR,10152627,CHITTAGONG
390,AGRANI BANK PLC,DURGAPUR,10720196,NETROKONA
391,AGRANI BANK PLC,ELEPHANT ROAD,10261334,DHAKA-NORTH
392,AGRANI BANK PLC,ENAYETPUR,10880823,SIRAJGANJ
393,AGRANI BANK PLC,FAKIRER BAZAR,10720220,NETROKONA
